year,month,filesize
2001,0,31044.0
2001,1,31044.0
2001,2,31044.0
2001,3,31044.0
2001,4,31044.0
2001,5,31044.0
2001,6,31044.0
2001,7,28281.0
2001,8,28281.0
2001,9,26798.5
2001,10,36781.545454545456
2001,11,45119.9375
2002,0,45807.1
2002,1,42038.76470588235
2002,2,43444.18421052631
2002,3,43683.204545454544
2002,4,44203.255319148935
2002,5,43896.6875
2002,6,44183.153846153844
2002,7,43966.84745762712
2002,8,43588.279411764706
2002,9,43100.320512820515
2002,10,43514.90243902439
2002,11,43598.08045977011
2003,0,43720.88421052632
2003,1,44117.49494949495
2003,2,44396.99038461538
2003,3,44020.63247863248
2003,4,43655.359375
2003,5,43926.06766917293
2003,6,43959.12765957447
2003,7,43280.242236024846
2003,8,43341.3908045977
2003,9,43364.23243243243
2003,10,43510.260204081635
2003,11,43276.488262910796
2004,0,43154.4025974026
2004,1,43124.70445344129
2004,2,42845.25461254612
2004,3,42741.33219178082
2004,4,42683.49677419355
2004,5,42512.23529411765
2004,6,42464.92098092643
2004,7,42190.27948717949
2004,8,42375.38072289157
2004,9,42445.959731543626
2004,10,42685.208067940555
2004,11,44181.21272365805
2005,0,45767.96309963099
2005,1,47575.89024390244
2005,2,49206.32840722496
2005,3,50842.143297380586
2005,4,51822.30042918455
2005,5,52864.41248303935
2005,6,53609.750957854405
2005,7,52637.910588235296
2005,8,52374.200892857145
2005,9,53135.20996818664
2005,10,53667.913913913915
2005,11,54434.54641148325
2006,0,55075.798548094375
2006,1,55597.42032730405
2006,2,55877.086499595796
2006,3,56344.726226993866
2006,4,56867.76075857039
2006,5,57246.7918395574
2006,6,57446.67668190725
2006,7,57769.56815365551
2006,8,58493.23410576352
2006,9,58899.149008498585
2006,10,59410.738069414314
2006,11,59986.24817518248
2007,0,60468.88488488489
2007,1,61296.96040560116
2007,2,61990.660324825985
2007,3,62676.43992853953
2007,4,63338.12585910653
2007,5,63950.99254349627
2007,6,64523.59752692461
2007,7,65142.74064067927
2007,8,65483.06299212598
2007,9,66033.40703153316
2007,10,66615.56205923836
2007,11,67165.02291381669
2008,0,67798.11475953566
2008,1,68280.55748233783
2008,2,68888.54088639202
2008,3,69204.8878419453
2008,4,69588.15636042402
2008,5,70036.22397025171
2008,6,70592.58638012838
2008,7,71260.45471903983
2008,8,71700.42569002123
2008,9,72179.93324708927
2008,10,72471.17464717742
2008,11,72994.65722030557
2009,0,73415.51561749159
2009,1,73710.62602387082
2009,2,74072.51966163695
2009,3,74571.42508398656
2009,4,74878.3227778991
2009,5,75453.60480068582
2009,6,75658.92104157917
2009,7,75947.86959196227
2009,8,76290.95507420778
2009,9,76709.63371978777
2009,10,76937.85204375359
2009,11,77163.4392575928
2010,0,77566.25676421866
2010,1,77861.74801587302
2010,2,78041.42300916139
2010,3,78222.54271443335
2010,4,78633.82612383376
2010,5,78655.32067650472
2010,6,78710.65208197788
2010,7,78980.99633349275
2010,8,79206.44331667708
2010,9,79457.16506336845
2010,10,79704.5373558916
2010,11,80199.27183036372
2011,0,80503.95562301243
2011,1,80966.1052631579
2011,2,81093.60400616332
2011,3,81437.91975734179
2011,4,81729.8533768175
2011,5,82134.56053691276
2011,6,82430.03526614714
2011,7,82790.13734688559
2011,8,83139.25522905172
2011,9,83557.00849176172
2011,10,83880.71982489056
2011,11,84218.93850333415
2012,0,84424.12851405622
2012,1,84748.43869340699
2012,2,84966.47642679901
2012,3,85280.79309137589
2012,4,85403.87398140709
2012,5,85738.5671388102
2012,6,86011.92537480421
2012,7,86321.19785682722
2012,8,86582.9200174349
2012,9,86890.35966422729
2012,10,87223.29548840178
2012,11,87544.50809844342
2013,0,87748.85309679428
2013,1,88083.51294912478
2013,2,88086.12819223809
2013,3,88209.01397007827
2013,4,88505.00705536501
2013,5,88583.41914605873
2013,6,88857.95602714845
2013,7,89145.85898407885
2013,8,89453.6135873135
2013,9,89732.76335594166
2013,10,90042.40742788684
2013,11,90263.944647091
2014,0,90367.2792711528
2014,1,90695.06856426781
2014,2,90827.18429217268
2014,3,91153.08074425136
2014,4,91334.46737902875
2014,5,91548.96412556054
2014,6,91689.09724362267
2014,7,92000.07717807055
2014,8,92304.05203677152
2014,9,92559.64251612363
2014,10,92768.58632436025
2014,11,93020.01417855082
2015,0,93237.06980731548
2015,1,93432.01798736023
2015,2,93747.60014478765
2015,3,93961.52286744093
2015,4,93961.52286744093
2015,5,93961.52286744093
2015,6,93961.52286744093
2015,7,93961.52286744093
2015,8,93961.52286744093
2015,9,93961.52286744093
2015,10,93961.52286744093
2015,11,93961.52286744093
