Country,Edits
Afghanistan,12561
Albania,11084
Algeria,10849
Andorra,3176
Angola,7222
Antigua and Barbuda,2938
Argentina,7668
Armenia,14201
Australia,13282
Austria,15045
Azerbaijan,11571
Bahrain,6118
Bangladesh,20090
Barbados,4764
Belarus,7538
Belgium,13198
Belize,4068
Benin,4361
Bhutan,4202
Bolivia,6750
Bosnia and Herzegovina,13542
Botswana,3346
Brazil,15310
Brunei,3791
Bulgaria,12208
Burkina Faso,4134
Burma,10410
Burundi,3342
Cambodia,8003
Cameroon,8190
Canada,13989
Cape Verde,3397
Central African Republic,3434
Chad,6569
Chile,12066
China,18111
Colombia,9488
Comoros,2415
Cook Islands,2319
Costa Rica,4170
Croatia,10591
Cuba,9070
Cyprus,7487
Czech Republic,6249
Democratic Republic of the Congo,7458
Denmark,14604
Djibouti,2856
Dominica,2608
Dominican Republic,5345
East Timor,3788
Ecuador,6189
Egypt,9275
El Salvador,4535
Equatorial Guinea,2759
Eritrea,4307
Estonia,10638
Ethiopia,9852
Federated States of Micronesia,2459
Fiji,5212
Finland,13466
France,13555
Gabon,3543
Georgia (country),11737
Germany,5551
Ghana,13864
Greece,12812
Grenada,2675
Guatemala,5353
Guinea-Bissau,2732
Guinea,3373
Guyana,5332
Haiti,10053
Honduras,4173
Hungary,8833
Iceland,9839
India,23635
Indonesia,8541
Iran,18536
Iraq,14349
Israel,23414
Italy,10411
Ivory Coast,4187
Jamaica,5657
Japan,22629
Jordan,7615
Kazakhstan,8504
Kenya,9404
Kingdom of the Netherlands,1798
Kiribati,3021
Kosovo,6204
Kuwait,7063
Kyrgyzstan,6805
Laos,4978
Latvia,9198
Lebanon,14701
Lesotho,2337
Liberia,4052
Libya,7044
Liechtenstein,2398
Lithuania,3929
Luxembourg,5904
Madagascar,6404
Malawi,3706
Malaysia,11799
Maldives,3733
Mali,5208
Malta,7229
Marshall Islands,2336
Mauritania,4288
Mauritius,4159
Mexico,12588
Moldova,3643
Monaco,4186
Mongolia,10344
Montenegro,8007
Morocco,12368
Mozambique,4653
Nagorno-Karabakh Republic,946
Namibia,8297
Nauru,4448
Nepal,17845
New Zealand,10628
Nicaragua,6252
Niger,4338
Nigeria,15961
Niue,1963
North Korea,7367
Northern Cyprus,2138
Norway,10882
Oman,4172
Pakistan,22052
Palau,4287
Panama,5603
Papua New Guinea,6155
Paraguay,3511
Peru,9649
Philippines,15819
Poland,16912
Portugal,6527
Qatar,3595
Republic of Ireland,10409
Republic of Macedonia,6143
Republic of the Congo,3058
Romania,9161
Russia,20461
Rwanda,3608
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2553
Sahrawi Arab Democratic Republic,1307
Saint Kitts and Nevis,3225
Saint Lucia,2529
Saint Vincent and the Grenadines,2824
Samoa,3563
San Marino,2764
Saudi Arabia,12231
Senegal,6715
Serbia,9442
Seychelles,2135
Sierra Leone,5096
Singapore,12755
Slovakia,6581
Slovenia,4799
Solomon Islands,3620
Somalia,12297
Somaliland,1320
South Africa,19113
South Korea,8062
South Ossetia,1666
South Sudan,2636
Spain,16681
Sri Lanka,13266
State of Palestine,14666
Sudan,7974
Suriname,3499
Swaziland,2238
Sweden,17823
Switzerland,11872
Syria,10343
Taiwan,14676
Tajikistan,5429
Tanzania,6196
Thailand,12541
The Bahamas,2928
The Gambia,3543
Togo,2725
Tonga,3156
Transnistria,3862
Trinidad and Tobago,6361
Tunisia,6373
Turkey,14454
Turkmenistan,4406
Tuvalu,2861
Uganda,5021
Ukraine,18831
United Arab Emirates,5918
United Kingdom,36671
United States,26782
Uruguay,4669
Uzbekistan,6714
Vanuatu,3116
Vatican City,4427
Venezuela,8848
Vietnam,13875
Yemen,8442
Zambia,5032
Zimbabwe,8025
